Summary Index,Mean Exp Elapsed Time (s),Mean Sim Elapsed Time (s),Sim Clocks,Sim Time (s),N,C,S,Rs,Lambda A,Dist A,Mean A,Stdv A,Num Repl,Num Repl*Virt,Mean of Mean Jobs Waiting,Sdom of Mean Jobs Waiting,Mean of Stdv Jobs Waiting,Mean of Mean Jobs Receiving Service,Sdom of Mean Jobs Receiving Service,Mean of Stdv Jobs Receiving Service,Mean of Mean Jobs in System,Sdom of Mean Jobs in System,Mean of Stdv Jobs in System,Mean of Cov Jobs Waiting and Jobs Receiving Service,Sdom of Cov Jobs Waiting and Jobs Receiving Service,Mean of Mean Wait Time (s),Sdom of Mean Wait Time (s),Mean of Stdv Wait Time (s),Mean of Mean Service Time (s),Sdom of Mean Service Time (s),Mean of Stdv Service Time (s),Mean of Mean Response Time (s),Sdom of Mean Response Time (s),Mean of Stdv Response Time (s),Mean Histogram of Jobs Waiting,[Model] Offered Load,[Model] Rho,[Model] Total Schedule Time (clks),[Model] Service Time (clks),[Model] Vacation Time (clks),[Model] Vacation Context Switch Time (clks),[Model] Mean Service Time (s),[Model] Service Time Second Moment (s),[Model] Service Time Third Moment (s),[Model] Mean Vacation Waiting Time (s),[Model] Service Rate (/s),[Model] Total Achievable Throughput (/s),[Model] Total Achievable Throughput w/ S=0 (/s),[Model] Empty Queue Probability,[Model] Service Time Fraction,[Model] Vacation Time Fraction,[Model] Vacation Context Switch Time Fraction,[Model] Queue Wait Time (s),[Model] Head of Queue Wait Time (s),[Model] Service Wait Time (s),[Model] Total Wait Time (s),[Model] Number in Queue,[Model] Number in Service,[Model] Number in System,[Model] JSON Blob
0,16.968835354772743,9.09465253265429,1000000,1000000.0,100,10,100,1,0.0008,M,1250.0,1250.0,1,100,3.707490990200948,0.1456743589318657,3.549379978011317,0.008005162317237883,2.8671783442452446e-05,0.08909838423388987,3.7154933436832756,0.145696197159119,3.5505013098427742,-0.0002463524827977463,8.62049207840382e-05,4570.279067409403,163.38387630101903,3812.4116862169867,10.0,0.0,0.0,4580.279067409403,163.38387630101903,3812.4116862169867,"[0.19303216552789537,0.1750494704518355,0.13831064447397276,0.10766794733317502,0.08472165319779289,0.06565439082008132,0.05042996165803858,0.04021042364938716,0.031992454387698877,0.024695381269767266,0.018850339688417702,0.014229671099438866,0.01103627061093146,0.00910522899426341,0.00747654885465041,0.00584855573100984,0.004971661289878822,0.0042325007671484985,0.0032038183075030614,0.002400349620242037,0.0016643574376850746,0.0010693963811721837,0.000814673421808382,0.0006417055739905429,0.0005262864805682519,0.0005002159826371252,0.00045455197383811603,0.00027848475426427827,0.00024893686145392507,0.00024266379545578073,0.00023115323615866467,0.00014859196957805627,4.3465102824415376e-05,1.2754767214619346e-05,3.3245282218799244e-06]",0.08,0.88,1100.0,10,1090.0,1000.0,10.0,100.0,1000.0,1024.010909090909,0.0009090909090909091,0.09090909090909091,1.0,0.12,0.00909090909090909,0.990909090909091,0.9090909090909091,8533.757575757576,8533.424242424242,10.0,8543.757575757576,6.827006060606061,0.008,6.835006060606061,"{""calculations"":{""NTOT"":6.835006060606061,""ps"":0.00909090909090909,""Nq"":6.827006060606061,""rho"":0.88,""pcs"":0.9090909090909091,""p0"":0.12,""muS"":0.0009090909090909091,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":10,""WTOT"":8543.757575757576,""Wq"":8533.757575757576,""pv"":0.990909090909091,""TTOT"":0.09090909090909091,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":8533.424242424242,""V"":1024.010909090909,""Ns"":0.008,""Ws"":10.0,""TT"":1100.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1090.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":1,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
1,18.1959407550401,10.325014422224054,1000000,1000000.0,100,10,100,2,0.0008,M,1250.0,1250.0,1,100,0.6320025169023984,0.0045905637031713135,0.894016435171932,0.008035901150986458,2.959158595276178e-05,0.08926706380611808,0.6400338049701687,0.004615873351851893,0.8984624066150642,9.782959242132012e-07,2.5104018648039942e-05,785.9076044981449,3.5402882355353875,519.9262406601457,10.0,0.0,0.0,795.9076044981449,3.5402882355353875,519.9262406601457,"[0.574024814592311,0.2794759429263548,0.10271175765743625,0.03185422869829008,0.008872318713814149,0.002439748213181481,0.0005121215082423014,0.00010122639934053743,3.0571840156045146e-06,4.784107013968166e-06]",0.08,0.48,1200.0,20,1180.0,1000.0,10.0,100.0,1000.0,584.9300000000001,0.0016666666666666668,0.16666666666666669,1.0,0.52,0.016666666666666666,0.9833333333333333,0.8333333333333334,1124.9423076923078,1124.8653846153848,10.0,1134.9423076923078,0.8999538461538463,0.008,0.9079538461538463,"{""calculations"":{""NTOT"":0.9079538461538463,""ps"":0.016666666666666666,""Nq"":0.8999538461538463,""rho"":0.48,""pcs"":0.8333333333333334,""p0"":0.52,""muS"":0.0016666666666666668,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":20,""WTOT"":1134.9423076923078,""Wq"":1124.9423076923078,""pv"":0.9833333333333333,""TTOT"":0.16666666666666669,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":1124.8653846153848,""V"":584.9300000000001,""Ns"":0.008,""Ws"":10.0,""TT"":1200.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1180.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":2,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
2,18.818255322953057,11.389285090702868,1000000,1000000.0,100,10,100,3,0.0008,M,1250.0,1250.0,1,100,0.5424368308617884,0.002676113487385349,0.8020127603468357,0.008036861260126532,2.9653834529143478e-05,0.08927229597984769,0.5504687902583029,0.002701878989468571,0.8069826713249516,1.5877041653844535e-05,2.1236052307868958e-05,674.9892330450925,1.693703829321462,403.5578075161145,10.0,0.0,0.0,684.9892330450925,1.693703829321462,403.5578075161145,"[0.6107696451146825,0.2721362857789427,0.08836644885501298,0.0226878104886689,0.004939930683321804,0.0009047038793019716,0.00015711114509828935,3.5161363204176246e-05,4.893625962285308e-07,2.4133291705000306e-06]",0.08,0.3466666666666667,1300.0,30,1270.0,1000.0,10.0,100.0,1000.0,552.1237606837607,0.002307692307692308,0.23076923076923078,1.0,0.6533333333333333,0.023076923076923078,0.9769230769230769,0.7692307692307693,845.1486132914704,845.0873888016745,10.0,855.1486132914704,0.6761188906331763,0.008,0.6841188906331763,"{""calculations"":{""NTOT"":0.6841188906331763,""ps"":0.023076923076923078,""Nq"":0.6761188906331763,""rho"":0.3466666666666667,""pcs"":0.7692307692307693,""p0"":0.6533333333333333,""muS"":0.002307692307692308,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":30,""WTOT"":855.1486132914704,""Wq"":845.1486132914704,""pv"":0.9769230769230769,""TTOT"":0.23076923076923078,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":845.0873888016745,""V"":552.1237606837607,""Ns"":0.008,""Ws"":10.0,""TT"":1300.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1270.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":3,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
3,20.51665211640027,13.657955689899135,1000000,1000000.0,100,10,100,4,0.0008,M,1250.0,1250.0,1,100,0.5494273271968684,0.002484314678948136,0.8078720955518429,0.008036271147587188,2.9646123844938933e-05,0.08926905035371425,0.5574585481117353,0.0025099405951836905,0.8127676730518253,-1.5055737095946605e-05,1.9439735040678417e-05,683.7953356184653,1.5607436705309246,406.3592124632677,10.0,0.0,0.0,693.7953356184653,1.5607436705309246,406.3592124632677,"[0.608191584393329,0.27110456602867167,0.09106143287138634,0.023554902715785753,0.005080579614193043,0.000869698159840061,0.0001059128675373107,2.73220662059237e-05,2.489208644538972e-06,1.5120744063193403e-06]",0.08,0.28,1400.0,40,1360.0,1000.0,10.0,100.0,1000.0,570.9142857142857,0.002857142857142857,0.2857142857142857,1.0,0.72,0.02857142857142857,0.9714285714285714,0.7142857142857143,792.9920634920635,792.936507936508,10.0,802.9920634920635,0.6343936507936508,0.008,0.6423936507936508,"{""calculations"":{""NTOT"":0.6423936507936508,""ps"":0.02857142857142857,""Nq"":0.6343936507936508,""rho"":0.28,""pcs"":0.7142857142857143,""p0"":0.72,""muS"":0.002857142857142857,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":40,""WTOT"":802.9920634920635,""Wq"":792.9920634920635,""pv"":0.9714285714285714,""TTOT"":0.2857142857142857,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":792.936507936508,""V"":570.9142857142857,""Ns"":0.008,""Ws"":10.0,""TT"":1400.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1360.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":4,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
4,21.344745421554975,14.500414507989143,1000000,1000000.0,100,10,100,5,0.0008,M,1250.0,1250.0,1,100,0.5764343711277922,0.002337679009780019,0.8320252134631694,0.008036847393811577,2.9709301632340066e-05,0.08927216624068812,0.5844655079273757,0.0023635929546767533,0.8368423105786852,3.86790277254202e-05,2.3104405513575574e-05,717.5595405539591,1.4265815074400656,429.5860223384805,10.0,0.0,0.0,727.5595405539591,1.4265815074400656,429.5860223384805,"[0.5954521513834407,0.2748763023296761,0.09615037846626467,0.02636907594068058,0.005880269128659556,0.0010568982243860956,0.0001827659248923832,2.1152402309980736e-05,3.818712472362932e-06,7.187487217738826e-06]",0.08,0.24,1500.0,50,1450.0,1000.0,10.0,100.0,1000.0,602.36,0.0033333333333333335,0.33333333333333337,1.0,0.76,0.03333333333333333,0.9666666666666667,0.6666666666666666,792.6315789473684,792.578947368421,10.0,802.6315789473684,0.6341052631578947,0.008,0.6421052631578947,"{""calculations"":{""NTOT"":0.6421052631578947,""ps"":0.03333333333333333,""Nq"":0.6341052631578947,""rho"":0.24,""pcs"":0.6666666666666666,""p0"":0.76,""muS"":0.0033333333333333335,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":50,""WTOT"":802.6315789473684,""Wq"":792.6315789473684,""pv"":0.9666666666666667,""TTOT"":0.33333333333333337,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":792.578947368421,""V"":602.36,""Ns"":0.008,""Ws"":10.0,""TT"":1500.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1450.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":5,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
5,21.799244945935868,15.066009157588464,1000000,1000000.0,100,10,100,6,0.0008,M,1250.0,1250.0,1,100,0.6084757508443822,0.0026893669341133573,0.8615798930921195,0.00803613630819232,2.9656947845271826e-05,0.08926829938693968,0.6165062074011397,0.0027160605029545202,0.8662244542473444,3.0246978446684434e-05,2.1741647717819495e-05,757.2927474156595,1.4758456365349173,457.05775329777754,10.0,0.0,0.0,767.2927474156595,1.4758456365349173,457.05775329777754,"[0.5815793594088495,0.27773824530648783,0.10220201897227447,0.029637992539268788,0.007095736214315773,0.001496534713187239,0.00020447683322933125,4.2962414602366876e-05,2.673597784960553e-06]",0.08,0.21333333333333335,1600.0,60,1540.0,1000.0,10.0,100.0,1000.0,637.9213888888889,0.00375,0.375,1.0,0.7866666666666666,0.0375,0.9625,0.625,810.9678672316386,810.9170197740115,10.0,820.9678672316386,0.6487742937853109,0.008,0.6567742937853109,"{""calculations"":{""NTOT"":0.6567742937853109,""ps"":0.0375,""Nq"":0.6487742937853109,""rho"":0.21333333333333335,""pcs"":0.625,""p0"":0.7866666666666666,""muS"":0.00375,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":60,""WTOT"":820.9678672316386,""Wq"":810.9678672316386,""pv"":0.9625,""TTOT"":0.375,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":810.9170197740115,""V"":637.9213888888889,""Ns"":0.008,""Ws"":10.0,""TT"":1600.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1540.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":6,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
6,22.414473557393467,15.414119112904014,1000000,1000000.0,100,10,100,7,0.0008,M,1250.0,1250.0,1,100,0.6391890799826456,0.002698748895344642,0.8881501462447877,0.008036617907031833,2.9734205990500743e-05,0.08927087152049783,0.6472199547346507,0.002724052927965893,0.8926398403547282,1.595354922054552e-05,2.3224688590793163e-05,795.598185539422,1.767134892276466,485.47044954372916,10.0,0.0,0.0,805.598185539422,1.767134892276466,485.47044954372916,"[0.568582748105337,0.2796592837242493,0.10849474948350264,0.03314524345315471,0.007979522083526367,0.0017364590329546781,0.0003222781968667872,7.230635800883401e-05,4.27062280905952e-06,3.5760302868477346e-07,2.781336562066488e-06]",0.08,0.19428571428571428,1700.0,70,1630.0,1000.0,10.0,100.0,1000.0,675.0250180072029,0.00411764705882353,0.411764705882353,1.0,0.8057142857142857,0.041176470588235294,0.9588235294117647,0.5882352941176471,837.8466535550391,837.7970081649681,10.0,847.8466535550391,0.6702773228440313,0.008,0.6782773228440313,"{""calculations"":{""NTOT"":0.6782773228440313,""ps"":0.041176470588235294,""Nq"":0.6702773228440313,""rho"":0.19428571428571428,""pcs"":0.5882352941176471,""p0"":0.8057142857142857,""muS"":0.00411764705882353,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":70,""WTOT"":847.8466535550391,""Wq"":837.8466535550391,""pv"":0.9588235294117647,""TTOT"":0.411764705882353,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":837.7970081649681,""V"":675.0250180072029,""Ns"":0.008,""Ws"":10.0,""TT"":1700.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1630.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":7,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
7,21.00143195573739,14.284404302781498,1000000,1000000.0,100,10,100,8,0.0008,M,1250.0,1250.0,1,100,0.6740858334929408,0.003059780579104761,0.9151955412828001,0.008035569856438897,2.959319734486557e-05,0.0892652431493624,0.6821157276023081,0.003086475711493476,0.9195517300775199,1.623404870489906e-05,2.4740611724688838e-05,838.9069662474948,1.6828055686449601,513.768003047389,10.0,0.0,0.0,848.9069662474948,1.6828055686449601,513.768003047389,"[0.5526582643667054,0.28433493296181733,0.11473988555665625,0.0359922044896212,0.009655209326208641,0.0021526869005407167,0.0003871635820673753,6.148843491903937e-05,1.152778401231304e-05,3.0541357633167246e-06,3.5824616883526032e-06]",0.08,0.18000000000000002,1800.0,80,1720.0,1000.0,10.0,100.0,1000.0,712.74,0.0044444444444444444,0.4444444444444444,1.0,0.82,0.044444444444444446,0.9555555555555556,0.5555555555555556,869.2439024390244,869.1951219512196,10.0,879.2439024390244,0.6953951219512196,0.008,0.7033951219512196,"{""calculations"":{""NTOT"":0.7033951219512196,""ps"":0.044444444444444446,""Nq"":0.6953951219512196,""rho"":0.18000000000000002,""pcs"":0.5555555555555556,""p0"":0.82,""muS"":0.0044444444444444444,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":80,""WTOT"":879.2439024390244,""Wq"":869.2439024390244,""pv"":0.9555555555555556,""TTOT"":0.4444444444444444,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":869.1951219512196,""V"":712.74,""Ns"":0.008,""Ws"":10.0,""TT"":1800.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1720.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":8,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
8,19.495130875572173,13.132282734258126,1000000,1000000.0,100,10,100,9,0.0008,M,1250.0,1250.0,1,100,0.707395777072523,0.0030202408602857797,0.9420652968927192,0.00803605667715963,2.9559131822109715e-05,0.08926795898799024,0.7154263023496913,0.0030460381074808762,0.9462446582435411,-3.575890399572659e-05,2.6532769765434834e-05,880.4935274238435,1.8461419874610638,542.3118018237949,10.0,0.0,0.0,890.4935274238435,1.8461419874610638,542.3118018237949,"[0.539636158029875,0.2853192584008143,0.12048202791337188,0.04092900908714497,0.010621701327242156,0.0023664654030003253,0.0005392326581869738,9.125907089703077e-05,1.0146917071187394e-05,3.576038165157499e-07,4.38358857958795e-06]",0.08,0.1688888888888889,1900.0,90,1810.0,1000.0,10.0,100.0,1000.0,750.6894087069526,0.004736842105263158,0.4736842105263158,1.0,0.8311111111111111,0.04736842105263158,0.9526315789473684,0.5263157894736842,903.2840479094349,903.235919567189,10.0,913.2840479094349,0.7226272383275479,0.008,0.730627238327548,"{""calculations"":{""NTOT"":0.730627238327548,""ps"":0.04736842105263158,""Nq"":0.7226272383275479,""rho"":0.1688888888888889,""pcs"":0.5263157894736842,""p0"":0.8311111111111111,""muS"":0.004736842105263158,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":90,""WTOT"":913.2840479094349,""Wq"":903.2840479094349,""pv"":0.9526315789473684,""TTOT"":0.4736842105263158,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":903.235919567189,""V"":750.6894087069526,""Ns"":0.008,""Ws"":10.0,""TT"":1900.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1810.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":9,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
9,20.674212714185742,14.080801121371572,1000000,1000000.0,100,10,100,10,0.0008,M,1250.0,1250.0,1,100,0.7384788818295062,0.0033817029596414196,0.9716718498374181,0.00803537429408027,2.951415136225436e-05,0.08926424856596571,0.7465082109426062,0.003406577181654108,0.9757778954985714,1.7731911585813948e-05,2.7835932586379825e-05,919.1570700825208,2.2932293606948844,570.2438686211198,10.0,0.0,0.0,929.1570700825208,2.2932293606948844,570.2438686211198,"[0.5288466308399419,0.28554012834107584,0.1252247838381862,0.04407357097467398,0.012338233438113778,0.0031308019929433047,0.0006960453755883091,0.00012692523504121895,1.0813313931303399e-05,1.2066650504010181e-05]",0.08,0.16,2000.0,100,1900.0,1000.0,10.0,100.0,1000.0,788.7099999999999,0.005,0.5,1.0,0.84,0.05,0.95,0.5,938.9880952380952,938.9404761904761,10.0,948.9880952380952,0.7511904761904762,0.008,0.7591904761904762,"{""calculations"":{""NTOT"":0.7591904761904762,""ps"":0.05,""Nq"":0.7511904761904762,""rho"":0.16,""pcs"":0.5,""p0"":0.84,""muS"":0.005,""TTOT0"":1.0,""X3"":1000.0,""X"":10.0,""TS"":100,""WTOT"":948.9880952380952,""Wq"":938.9880952380952,""pv"":0.95,""TTOT"":0.5,""Rs_gt_f"":0.8695652173913042,""TCS"":1000.0,""X2"":100.0,""Wh"":938.9404761904761,""V"":788.7099999999999,""Ns"":0.008,""Ws"":10.0,""TT"":2000.0,""Rs_min"":1,""offered_load"":0.08,""TV"":1900.0},""parameters"":{""N"":100,""C"":10,""S"":100,""Rs"":10,""f_clk"":1.0,""t_clk"":1.0,""lambd"":0.0008}}"
