run_index,sort_order,timestamp,elapsed_time[s],peak_mem_MB,CSLOW_MODE,Allow_BRAM,UseDSP48s,NUM_TERMS,NUM_COPIES,PAR_MODE,repl_index,Slices,Slice-FF,4-LUT,Bonded I/O,DSP48,BRAMs,Syn_minorClk_T,Syn_majorClk_T,Par_minorClk_T,Par_majorClk_T,Syn_minorClk_Freq,Syn_majorClk_Freq,Par_minorClk_Freq,Par_majorClk_Freq,Syn_selClk_T,Par_selClk_T,Syn_selClk_Freq,Par_selClk_Freq,Stream_Freq,Total_Throughput
1427,625,Sun Feb  9 03:17:13 2014,189.22492098808289,872.0,MANPIPE,NO,Auto,12,14,VIRT,5,1823,2361,1356,74,31,0,8.895e-09,5.422e-09,1.1454000000000001e-08,3.7040000000000004e-09,112422709.38729624,184433788.27001107,87305744.71800244,269978401.72786176,8.895e-09,1.1454000000000001e-08,112422709.38729624,87305744.71800244,6236124.62271446,87305744.71800244
1428,635,Sun Feb  9 03:18:28 2014,185.66766595840454,861.0,MANPIPE,NO,Auto,12,16,VIRT,5,1608,1797,1182,74,31,0,8.895e-09,5.669e-09,1.1864000000000001e-08,4.7180000000000005e-09,112422709.38729624,176397953.7837361,84288604.18071476,211954217.88893598,8.895e-09,1.1864000000000001e-08,112422709.38729624,84288604.18071476,5268037.761294672,84288604.18071476
1429,645,Sun Feb  9 03:19:43 2014,206.36901092529297,870.0,MANPIPE,NO,Auto,12,20,VIRT,5,1959,2159,1564,74,31,0,8.895e-09,6.305e-09,1.2286e-08,5.717e-09,112422709.38729624,158604282.3156225,81393455.96614033,174916914.46562883,8.895e-09,1.2286e-08,112422709.38729624,81393455.96614033,4069672.7983070165,81393455.96614033
1430,655,Sun Feb  9 03:20:28 2014,162.8577480316162,842.0,MANPIPE,NO,Auto,16,1,VIRT,5,328,199,376,58,43,0,1.18366e-07,3.3060000000000004e-09,1.32642e-07,3.234e-09,8448371.998715848,302480338.7779794,7539090.182596764,309214594.92888063,1.18366e-07,1.32642e-07,8448371.998715848,7539090.182596764,7539090.182596764,7539090.182596764
1431,665,Sun Feb  9 03:21:45 2014,162.36552000045776,839.0,MANPIPE,NO,Auto,16,1,REPL,5,257,141,298,57,43,0,,1.1840300000000002e-07,,1.33698e-07,,8445731.949359389,,7479543.448667893,1.1840300000000002e-07,1.33698e-07,8445731.949359389,7479543.448667893,7479543.448667893,7479543.448667893
1432,675,Sun Feb  9 03:22:43 2014,181.54992508888245,839.0,MANPIPE,NO,Auto,16,2,VIRT,5,356,238,386,74,43,0,6.0635e-08,3.969e-09,6.827e-08,3.805e-09,16492125.010307578,251952632.90501386,14647722.279185586,262812089.3561104,6.0635e-08,6.827e-08,16492125.010307578,14647722.279185586,7323861.139592793,14647722.279185586
1434,695,Sun Feb  9 03:23:43 2014,167.49755692481995,848.0,MANPIPE,NO,Auto,16,3,VIRT,5,472,370,458,74,43,0,4.2768e-08,4.154e-09,4.9217e-08,4.538000000000001e-09,23381967.826412268,240731824.74723157,20318182.741735578,220361392.68400174,4.2768e-08,4.9217e-08,23381967.826412268,20318182.741735578,6772727.580578526,20318182.741735578
1433,685,Sun Feb  9 03:23:13 2014,218.01982402801514,867.0,MANPIPE,NO,Auto,16,2,REPL,5,505,269,585,73,86,0,,1.1840300000000002e-07,,1.4495500000000002e-07,,8445731.949359389,,6898692.6977337785,1.1840300000000002e-07,1.4495500000000002e-07,8445731.949359389,6898692.6977337785,6898692.6977337785,13797385.395467557
1435,705,Sun Feb  9 03:24:43 2014,185.44541311264038,844.0,MANPIPE,NO,Auto,16,4,VIRT,5,558,469,599,74,43,0,3.2026000000000005e-08,4.247e-09,3.586200000000001e-08,3.8230000000000006e-09,31224629.988134637,235460324.9352484,27884669.00897886,261574679.57101747,3.2026000000000005e-08,3.586200000000001e-08,31224629.988134637,27884669.00897886,6971167.252244715,27884669.00897886
1436,715,Sun Feb  9 03:25:58 2014,173.08694791793823,851.0,MANPIPE,NO,Auto,16,5,VIRT,5,681,601,637,74,43,0,2.8139e-08,4.51e-09,3.3953000000000006e-08,4.267e-09,35537865.595792316,221729490.02217293,29452478.426059548,234356690.88352472,2.8139e-08,3.3953000000000006e-08,35537865.595792316,29452478.426059548,5890495.68521191,29452478.426059548
1437,725,Sun Feb  9 03:26:43 2014,184.53724098205566,852.0,MANPIPE,NO,Auto,16,6,VIRT,5,701,698,678,74,43,0,2.3323000000000003e-08,4.6020000000000004e-09,2.832e-08,3.6050000000000003e-09,42876130.85795137,217296827.46631896,35310734.46327683,277392510.4022191,2.3323000000000003e-08,2.832e-08,42876130.85795137,35310734.46327683,5885122.410546139,35310734.46327683
1438,735,Sun Feb  9 03:27:58 2014,174.90079283714294,853.0,MANPIPE,NO,Auto,16,7,VIRT,5,828,826,673,74,43,0,2.0432e-08,4.697000000000001e-09,2.6665e-08,4.215e-09,48942834.76898982,212901852.24611452,37502343.89649353,237247924.0806643,2.0432e-08,2.6665e-08,48942834.76898982,37502343.89649353,5357477.699499076,37502343.89649353
